test_type,num_pairs,thread_id,result,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
inter_ccx,4,2,9.20409e+06,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,3,9.76808e+06,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,1,9.12154e+06,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,2,9.3416e+06,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,3,9.69153e+06,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,4,8.65527e+06,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,2,8.28375e+06,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,3,8.58189e+06,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,4,8.62108e+06,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,5,9.28252e+06,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,3,8.4921e+06,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,4,9.1291e+06,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,5,9.21168e+06,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,6,9.0387e+06,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,4,9.49085e+06,-,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,5,9.12363e+06,-,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,6,9.75953e+06,-,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,7,9.70315e+06,-,-,-,-,TX,TX,TX,TX,-,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,5,8.28103e+06,TX,-,-,-,-,TX,TX,TX,RX,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,6,9.02382e+06,TX,-,-,-,-,TX,TX,TX,RX,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,7,8.48524e+06,TX,-,-,-,-,TX,TX,TX,RX,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,0,8.72651e+06,TX,-,-,-,-,TX,TX,TX,RX,-,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,6,7.94513e+06,TX,TX,-,-,-,-,TX,TX,RX,RX,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,7,9.73154e+06,TX,TX,-,-,-,-,TX,TX,RX,RX,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,0,7.60423e+06,TX,TX,-,-,-,-,TX,TX,RX,RX,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,1,9.68777e+06,TX,TX,-,-,-,-,TX,TX,RX,RX,-,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,7,1.10553e+07,TX,TX,TX,-,-,-,-,TX,RX,RX,RX,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,0,8.365e+06,TX,TX,TX,-,-,-,-,TX,RX,RX,RX,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,1,8.22801e+06,TX,TX,TX,-,-,-,-,TX,RX,RX,RX,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,4,2,4.33373e+06,TX,TX,TX,-,-,-,-,TX,RX,RX,RX,-,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,0,1.02207e+07,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,1,8.53459e+06,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,2,7.98763e+06,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,3,1.00774e+07,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,4,1.03771e+07,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,1,1.01031e+07,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,2,1.04797e+07,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,3,8.96375e+06,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,4,9.00659e+06,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,5,9.45465e+06,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,2,9.95455e+06,-,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,3,7.8967e+06,-,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,4,9.04325e+06,-,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,5,8.50939e+06,-,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,6,8.95527e+06,-,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,3,7.93136e+06,-,-,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,4,8.99939e+06,-,-,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,5,8.26451e+06,-,-,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,6,9.14207e+06,-,-,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,7,9.59364e+06,-,-,-,TX,TX,TX,TX,TX,-,-,-,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,4,8.81505e+06,TX,-,-,-,TX,TX,TX,TX,RX,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,5,8.87265e+06,TX,-,-,-,TX,TX,TX,TX,RX,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,6,9.47428e+06,TX,-,-,-,TX,TX,TX,TX,RX,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,7,8.95765e+06,TX,-,-,-,TX,TX,TX,TX,RX,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,0,9.18102e+06,TX,-,-,-,TX,TX,TX,TX,RX,-,-,-,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,5,8.52983e+06,TX,TX,-,-,-,TX,TX,TX,RX,RX,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,6,1.06133e+07,TX,TX,-,-,-,TX,TX,TX,RX,RX,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,7,8.56788e+06,TX,TX,-,-,-,TX,TX,TX,RX,RX,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,0,7.37831e+06,TX,TX,-,-,-,TX,TX,TX,RX,RX,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,1,8.66945e+06,TX,TX,-,-,-,TX,TX,TX,RX,RX,-,-,-,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,6,8.20691e+06,TX,TX,TX,-,-,-,TX,TX,RX,RX,RX,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,7,8.91941e+06,TX,TX,TX,-,-,-,TX,TX,RX,RX,RX,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,0,7.69292e+06,TX,TX,TX,-,-,-,TX,TX,RX,RX,RX,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,1,8.22502e+06,TX,TX,TX,-,-,-,TX,TX,RX,RX,RX,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,2,9.83248e+06,TX,TX,TX,-,-,-,TX,TX,RX,RX,RX,-,-,-,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,7,8.32786e+06,TX,TX,TX,TX,-,-,-,TX,RX,RX,RX,RX,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,0,9.65468e+06,TX,TX,TX,TX,-,-,-,TX,RX,RX,RX,RX,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,1,1.05495e+07,TX,TX,TX,TX,-,-,-,TX,RX,RX,RX,RX,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,2,8.37896e+06,TX,TX,TX,TX,-,-,-,TX,RX,RX,RX,RX,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,5,3,7.52405e+06,TX,TX,TX,TX,-,-,-,TX,RX,RX,RX,RX,-,-,-,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,6,0,9.35068e+06,TX,TX,TX,TX,TX,TX,-,-,RX,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,6,1,1.02498e+07,TX,TX,TX,TX,TX,TX,-,-,RX,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,6,2,8.09845e+06,TX,TX,TX,TX,TX,TX,-,-,RX,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,6,3,8.78421e+06,TX,TX,TX,TX,TX,TX,-,-,RX,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,6,4,8.81598e+06,TX,TX,TX,TX,TX,TX,-,-,RX,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,6,5,9.61494e+06,TX,TX,TX,TX,TX,TX,-,-,RX,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
inter_ccx,6,1,8.47224e+06,-,TX,TX,TX,TX,TX,TX,-,-,RX,RX,RX,RX,RX,RX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
