thread_1_core,thread_2_core,period_1,period_2
0,101,0.408256,0.408106
0,102,0.408261,0.408149
0,103,0.408256,0.408147
0,104,0.408255,0.408268
0,105,0.408267,0.408137
0,106,0.408256,0.408151
0,107,0.408262,0.408159
0,108,0.408256,0.408157
0,109,0.408258,0.408170
0,110,0.408261,0.408159
0,111,0.408256,0.408158
0,112,0.408258,0.408269
0,113,0.408258,0.408260
0,114,0.408260,0.408163
0,115,0.408255,0.408267
0,116,0.408258,0.408267
0,117,0.408258,0.408175
0,118,0.408257,0.408264
0,119,0.408256,0.408167
0,120,0.408270,0.408129
0,121,0.408263,0.408152
0,122,0.408272,0.408161
0,123,0.408259,0.408158
0,124,0.408259,0.408161
0,125,0.408262,0.408145
0,126,0.408263,0.408166
0,127,0.408260,0.408155
0,128,0.409610,0.409798
0,129,0.408946,0.408086
0,130,0.408863,0.408183
0,131,0.408939,0.408946
0,132,0.409036,0.408983
0,133,0.408843,0.408279
0,134,0.408910,0.408056
0,135,0.408854,0.408118
0,136,0.408389,0.407819
0,137,0.408399,0.408410
0,138,0.408397,0.408411
0,139,0.408385,0.408391
0,140,0.408396,0.408425
0,141,0.408389,0.408396
0,142,0.408392,0.408157
0,143,0.408385,0.408402
0,144,0.408399,0.408455
0,145,0.408426,0.408034
0,146,0.408419,0.408163
0,147,0.405804,0.408203
0,148,0.408408,0.408190
0,149,0.408411,0.408408
0,150,0.408399,0.408022
0,151,0.408407,0.408416
0,152,0.408396,0.407605
0,153,0.408396,0.408192
0,154,0.408398,0.408198
0,155,0.408391,0.408435
0,156,0.408390,0.408410
0,157,0.408397,0.408172
0,158,0.408407,0.408460
0,159,0.408423,0.408164
0,160,0.408375,0.408171
0,161,0.408384,0.408041
0,162,0.408376,0.408156
0,163,0.408360,0.408153
0,164,0.408369,0.408139
0,165,0.408375,0.408165
0,166,0.408369,0.408391
0,167,0.408368,0.408168
0,168,0.401680,0.408408
0,169,0.408361,0.407990
0,170,0.408368,0.408375
0,171,0.408377,0.408185
0,172,0.408389,0.408047
0,173,0.408371,0.408191
0,174,0.408372,0.408183
0,175,0.408413,0.408164
0,176,0.408375,0.408093
0,177,0.408414,0.408085
0,178,0.408400,0.408169
0,179,0.408377,0.408380
0,180,0.408381,0.408385
0,181,0.408389,0.408186
0,182,0.408379,0.408193
0,183,0.408369,0.408365
0,184,0.408371,0.408400
0,185,0.408370,0.407922
0,186,0.408372,0.408179
0,187,0.408377,0.408378
0,188,0.408381,0.408060
0,189,0.408370,0.407757
0,190,0.408391,0.408077
0,191,0.408381,0.408191
0,192,0.408252,0.408125
0,193,0.408252,0.408137
0,194,0.408256,0.408148
0,195,0.408258,0.408148
0,196,0.408256,0.408157
0,197,0.408253,0.408155
0,198,0.408256,0.408161
0,199,0.408253,0.408160
0,200,0.408250,0.408085
0,201,0.408255,0.408158
0,202,0.408256,0.408157
0,203,0.408252,0.408164
0,204,0.408256,0.408155
0,205,0.408255,0.408142
0,206,0.408255,0.408156
0,207,0.408254,0.408152
0,208,0.408255,0.408260
0,209,0.408255,0.408154
0,210,0.408253,0.408167
0,211,0.408255,0.408163
0,212,0.408263,0.408167
0,213,0.408247,0.407645
0,214,0.408259,0.408173
0,215,0.408262,0.408252
0,216,0.408254,0.408142
0,217,0.408255,0.408152
0,218,0.408252,0.408162
0,219,0.408257,0.408161
0,220,0.408249,0.408152
0,221,0.408255,0.408166
0,222,0.408254,0.408155
0,223,0.408250,0.408150
0,224,0.408253,0.408107
0,225,0.399066,0.408159
0,226,0.408256,0.408108
0,227,0.408273,0.408164
0,228,0.408256,0.408172
0,229,0.408255,0.408156
0,230,0.408260,0.408164
0,231,0.408259,0.408262
0,232,0.408261,0.408124
0,233,0.408261,0.408150
0,234,0.408261,0.408155
0,235,0.408257,0.408156
0,236,0.408259,0.408172
0,237,0.408259,0.408153
0,238,0.408277,0.408144
0,239,0.408258,0.408261
0,240,0.408263,0.408268
0,241,0.408260,0.408267
0,242,0.408271,0.408267
0,243,0.408260,0.408261
0,244,0.408260,0.408260
0,245,0.408261,0.408260
0,246,0.408255,0.408260
0,247,0.408258,0.408264
0,248,0.408258,0.408268
0,249,0.408257,0.408262
0,250,0.408256,0.408268
0,251,0.408260,0.408265
0,252,0.408255,0.408261
0,253,0.408259,0.408260
0,254,0.407018,0.408260
0,255,0.408257,0.408261
