thread_1_core,thread_2_core,period_1,period_2
14,1,0.263196,0.263207
14,2,0.263206,0.263207
14,3,0.263206,0.263207
14,4,0.263206,0.263207
14,5,0.263205,0.263206
14,6,0.263208,0.263208
14,7,0.263206,0.263206
14,8,0.263196,0.263207
14,9,0.263205,0.263206
14,10,0.263205,0.263205
14,11,0.263205,0.263207
14,12,0.263312,0.263316
14,13,0.263317,0.263317
14,15,0.263320,0.263319
14,16,0.263316,0.263315
14,17,0.263319,0.263314
14,18,0.263325,0.263325
14,19,0.263312,0.263315
14,20,0.263314,0.263311
14,21,0.263300,0.263322
14,22,0.263317,0.263319
14,23,0.263320,0.263320
14,24,0.263202,0.263205
14,25,0.263207,0.263209
14,26,0.263195,0.263203
14,27,0.263210,0.263209
14,28,0.263206,0.263207
14,29,0.263208,0.263210
14,30,0.263210,0.263211
14,31,0.263205,0.263206
14,32,0.263201,0.263206
14,33,0.263192,0.263205
14,34,0.263205,0.263208
14,35,0.263203,0.263206
14,36,0.263305,0.263308
14,37,0.263316,0.263289
14,38,0.264066,0.264066
14,39,0.263305,0.263305
14,40,0.263317,0.263317
14,41,0.263314,0.263314
14,42,0.263304,0.263307
14,43,0.263315,0.263310
14,44,0.263302,0.263320
14,45,0.263295,0.263303
14,46,0.263313,0.263316
14,47,0.263286,0.263305
15,0,0.263211,0.263210
15,1,0.263207,0.263210
15,2,0.263204,0.263207
15,3,0.263197,0.263212
15,4,0.263209,0.263210
15,5,0.263207,0.263208
15,6,0.263210,0.263211
15,7,0.263206,0.263207
15,8,0.263206,0.263209
15,9,0.263206,0.263207
15,10,0.263208,0.263208
15,11,0.263205,0.263204
15,12,0.263318,0.263318
15,13,0.263321,0.263321
15,14,0.263310,0.263309
15,16,0.263318,0.263318
15,17,0.263314,0.263311
15,18,0.263312,0.263312
15,19,0.263317,0.263317
15,20,0.263316,0.263318
15,21,0.263310,0.263310
15,22,0.263315,0.263318
15,23,0.263308,0.263308
15,24,0.263202,0.263211
15,25,0.263207,0.263209
15,26,0.263202,0.263205
15,27,0.263207,0.263211
15,28,0.263199,0.263209
15,29,0.263208,0.263209
15,30,0.263210,0.263212
15,31,0.263199,0.263208
15,32,0.263214,0.263215
15,33,0.263203,0.263205
15,34,0.263208,0.263209
15,35,0.263204,0.263206
15,36,0.263314,0.263314
15,37,0.263316,0.263316
15,38,0.263312,0.263312
15,39,0.264062,0.264046
15,40,0.263321,0.263321
15,41,0.263314,0.263317
15,42,0.263280,0.263304
15,43,0.263310,0.263314
15,44,0.263304,0.263318
15,45,0.263303,0.263309
15,46,0.263324,0.263324
15,47,0.263299,0.263310
16,0,0.263209,0.263211
16,1,0.263204,0.263212
16,2,0.263203,0.263209
16,3,0.263208,0.263212
16,4,0.263210,0.263210
16,5,0.263210,0.263210
